state,county,total_cost,cost_of_living_ranking,geometry
AR,Johnson,19146.670728,0.9618605180946485,POINT (-94.1654821 36.1328564)
CO,Las Animas,21664.262724000004,0.8901348846204178,POINT (-103.2224779 38.0664563)
CO,Routt,27986.88329,0.710004837323609,POINT (-85.4666224 38.1342326)
GA,Rabun,19667.994026,0.9470081338110417,POINT (-83.3864536 34.9572143)
ID,Jerome,21749.163856,0.8877160703387336,POINT (-114.518808 42.7238458)
IL,De Witt,23059.52556,0.8503841581587218,POINT (-88.7861844 40.1811468)
KS,Cherokee,20476.120534,0.9239847901534072,POINT (-94.8233498 37.3449297)
MI,Ingham,21927.744402,0.8826283504824682,POINT (-84.3116086 42.5760964)
AL,Houston,21679.75522,0.8896935068707816,POINT (-87.2580686 34.1414925)
IL,Henry,21837.7354,0.8851926868392292,POINT (-89.3564776 41.1114249)
KY,Carter,19773.623756,0.9439987664036144,POINT (-83.1207313 38.4289683)
MD,Frederick,27909.979892,0.7121957979505233,POINT (-77.4127562 39.415779)
MI,Leelanau,28195.111938,0.7040724496654768,POINT (-85.6402413 45.1262925)
GA,Morgan,22296.716018,0.8721164315799381,POINT (-84.5993601 31.5376731)
IA,Buchanan,20767.33941,0.9156880294416077,POINT (-91.246335 41.7650514)
KY,Ballard,21645.273844000003,0.8906758735690363,POINT (-84.9905101 37.930351)
KY,Estill,19435.890336,0.9536207160814836,POINT (-82.8187717 37.4570438)
ME,Cumberland,29182.632554000003,0.6759382079519665,POINT (-70.2581692 43.7966548)
MA,Franklin,26609.358292,0.749250216743753,POINT (-71.3971167 42.0825801)
AL,Lamar,21039.960418,0.9079211178339084,POINT (-85.3952287 33.3967806)
CA,Tehama,24085.818436,0.8211453034204858,POINT (-122.123322 40.0271015)
IA,Mahaska,20138.593438,0.9336008617066142,POINT (-92.6710406 41.304581)
KY,Breckinridge,19852.212658,0.9417597861443228,POINT (-84.378549 38.4414625)
MI,Jackson,21924.525074,0.8827200684179114,POINT (-84.4016963 42.2465036)
MN,Stevens,20713.7315,0.9172153068201856,POINT (-93.2782254 44.9645127)
AR,Union,19624.231276,0.9482549247808696,POINT (-92.3348639 33.0759625)
GA,McIntosh,21129.572414,0.9053680920893864,POINT (-81.5235273 31.8257693)
GA,Rockdale,24220.91897,0.8172963193915992,POINT (-84.4349287 33.7870502)
IA,Taylor,20416.440398,0.9256850638940408,POINT (-95.5200033 41.2713838)
KY,Pulaski,19327.344874,0.9567131520421448,POINT (-84.6388326 37.2089669)
MI,Lenawee,21124.276414000004,0.90551897394613,POINT (-83.9438313 41.8844918)
MN,Olmsted,26504.956844,0.7522245906714286,POINT (-92.5957207 43.9807626)
MO,Gasconade,21286.13518,0.9009076538660092,POINT (-91.5601667 38.669489)
AZ,Maricopa,25826.692088,0.771548202028884,POINT (-112.047755 33.058129)
AR,Ashley,19262.584144,0.958558170770709,POINT (-80.6759337 39.4045278)
MI,Gladwin,20907.712204,0.9116888399032732,POINT (-84.486401 43.980855)
MS,Amite,19831.76266,0.9423424020183117,POINT (-90.7931407 31.1648835)
MO,Butler,20401.204568,0.9261191292866826,POINT (-94.3329016 38.2587399)
AL,Coosa,21715.916642000004,0.8886632760373502,POINT (-86.3455327 33.2792796)
AR,Greene,19417.848212,0.9541347321631904,POINT (-81.4013923 39.0625031)
GA,Brooks,20497.30764,0.9233811742371864,POINT (-84.4563519 33.29372)
IL,Warren,21673.94881,0.8898589301943871,POINT (-89.9895516 42.4964843)
KY,Boone,25476.574920000003,0.78152296192044,POINT (-84.316601 37.5175837)
KY,Fulton,20639.695584,0.919324573525586,POINT (-88.8752157 36.5056054)
MI,Crawford,20896.261076000003,0.9120150799815304,POINT (-84.7869585 43.5239194)
MI,Roscommon,20632.213352,0.9195377406435516,POINT (-84.591968 44.49835)
MN,Fillmore,24180.394002,0.8184508666756471,POINT (-92.2682204 43.7485749)
AL,Chambers,21404.431176,0.8975374273701963,POINT (-87.1580519 33.2417826)
IN,Washington,21210.60633,0.9030594539275112,POINT (-87.172789 38.6592152)
KS,Barton,20320.636584,0.9284144931499786,POINT (-98.0775503 38.9938947)
KS,Trego,20881.241552,0.9124429828645604,POINT (-99.8917877 38.8855662)
MN,Wabasha,24546.465863999994,0.8080215611167012,POINT (-92.0320116 44.3839438)
