county,state,year,number_of_crimes,geometry,crime_ranking
Escambia,AL,1980,2,POINT (-87.3636916 31.0721361),0.9995210727969348
Faulkner,AR,1980,2,POINT (-94.0863113 34.3403867),0.9995210727969348
Boone,KY,1980,2,POINT (-84.316601 37.5175837),0.9995210727969348
St. Bernard,LA,1980,1,POINT (-89.858676 29.8671501),1.0
San Juan,NM,1980,5,POINT (-108.5288693 36.7348233),0.9980842911877394
Wyoming,PA,1980,1,POINT (-75.8374174 41.3117471),1.0
Brazos,TX,1980,9,POINT (-98.1219883 32.6615198),0.9961685823754788
Kendall,TX,1980,2,POINT (-97.1116957 33.0879517),0.9995210727969348
Lubbock,TX,1980,41,POINT (-101.8470215 33.5855677),0.9808429118773946
Frederick,MD,1981,4,POINT (-77.4127562 39.415779),0.9985632183908046
Richland,OH,1981,10,POINT (-82.5973848 39.1870147),0.9956896551724138
Waukesha,WI,1981,2,POINT (-88.2314813 43.0116784),0.9995210727969348
Washakie,WY,1981,1,POINT (-108.8811789 43.0039242),1.0
Conejos,CO,1982,1,POINT (-106.0202541 37.0887903),1.0
Peoria,IL,1982,10,POINT (-89.5891008 40.6938609),0.9956896551724138
Lee,KY,1982,1,POINT (-86.4994264 37.295882),1.0
Monroe,KY,1982,2,POINT (-85.697747 37.2322786),0.9995210727969348
Laurens,SC,1982,6,POINT (-82.0156362 34.4989248),0.9976053639846744
Pennington,SD,1982,8,POINT (-103.1944283 44.0503329),0.996647509578544
Waller,TX,1982,3,POINT (-95.9250516 30.0640003),0.9990421455938696
Carbon,WY,1982,1,POINT (-106.3769657 41.8485752),1.0
Morgan,CO,1983,1,POINT (-106.0200249 37.3277847),1.0
Ingham,MI,1983,3,POINT (-84.3116086 42.5760964),0.9990421455938696
Fayette,PA,1983,7,POINT (-79.918944 39.8222992),0.9971264367816092
Collin,TX,1983,10,POINT (-96.8163888 33.1987288),0.9956896551724138
Douglas,WI,1983,3,POINT (-89.5514803 43.7008885),0.9990421455938696
Mingo,WV,1983,5,POINT (-80.0542344 38.4987251),0.9980842911877394
Putnam,WV,1983,1,POINT (-81.9285782 38.4563185),1.0
Randolph,WV,1983,1,POINT (-82.1219829 38.8376183),1.0
Lowndes,GA,1984,4,POINT (-83.2681036 30.807456),0.9985632183908046
Champaign,IL,1984,5,POINT (-88.2430932 40.1164841),0.9980842911877394
York,ME,1984,4,POINT (-70.6505274 43.1439384),0.9985632183908046
Beaufort,NC,1984,9,POINT (-76.6591587 34.7180601),0.9961685823754788
Clark,OH,1984,4,POINT (-81.9023614 40.4489547),0.9985632183908046
Crawford,PA,1984,3,POINT (-77.2567094 41.1154654),0.9990421455938696
Pennington,SD,1984,4,POINT (-103.1944283 44.0503329),0.9985632183908046
Calhoun,WV,1984,2,POINT (-79.9856332 39.0912114),0.9995210727969348
Monterey,CA,1985,27,POINT (-121.8946388 36.600256),0.9875478927203064
Crow Wing,MN,1985,1,POINT (-94.2924998 46.2799671),1.0
Simpson,MS,1985,1,POINT (-89.337007 31.8423803),1.0
Aiken,SC,1985,11,POINT (-81.7224579 33.5616173),0.9952107279693486
Douglas,WA,1985,2,POINT (-120.0047852 47.6212432),0.9995210727969348
Skagit,WA,1985,3,POINT (-122.3629364 48.383437),0.9990421455938696
San Joaquin,CA,1986,65,POINT (-120.1890447 36.6066162),0.9693486590038314
Paulding,GA,1986,3,POINT (-84.8221608 33.8114948),0.9990421455938696
Olmsted,MN,1986,1,POINT (-92.5957207 43.9807626),1.0
Sauk,WI,1986,3,POINT (-89.7226827 43.2715944),0.9990421455938696
Allegany,MD,1987,2,POINT (-78.8280761 39.6400877),0.9995210727969348
Montcalm,MI,1987,2,POINT (-85.2521977 43.271685),0.9995210727969348
Clermont,OH,1987,4,POINT (-84.1968655 39.0327039),0.9985632183908046
Okmulgee,OK,1987,2,POINT (-95.9719711 35.6230879),0.9995210727969348
Jefferson,GA,1988,2,POINT (-83.5723876 34.1170537),0.9995210727969348
Liberty,GA,1988,4,POINT (-83.1370993 33.421523),0.9985632183908046
Berkeley,WV,1988,2,POINT (-77.9272196 39.5031537),0.9995210727969348
Adair,KY,1989,3,POINT (-86.8266569 37.9506102),0.9990421455938696
Ozark,MO,1989,2,POINT (-93.2052833 37.0207065),0.9995210727969348
Genesee,NY,1989,5,POINT (-78.2481994 42.0470457),0.9980842911877394
Seminole,OK,1989,1,POINT (-96.6762229 35.2300087),1.0
Tulsa,OK,1989,50,POINT (-95.9927516 36.1563122),0.9765325670498084
York,VA,1989,4,POINT (-82.1254221 38.905913),0.9985632183908046
Calhoun,AL,1990,12,POINT (-86.5449739 32.0501467),0.9947318007662836
Yolo,CA,1990,12,POINT (-121.8077431 38.7318481),0.9947318007662836
Winnebago,IL,1990,19,POINT (-89.2412202 42.2661312),0.9913793103448276
Iberville,LA,1990,1,POINT (-91.1167713 30.2960276),1.0
Merrimack,NH,1990,1,POINT (-71.4934004 42.8650864),1.0
Lincoln,OK,1990,2,POINT (-99.7603725 34.4939594),0.9995210727969348
Anderson,SC,1990,12,POINT (-82.6506264 34.5068601),0.9947318007662836
Prince William,VA,1990,11,POINT (-77.3007735 38.638942),0.9952107279693486
Scott,AR,1991,1,POINT (-92.0879316 34.698008),1.0
Van Buren,AR,1991,2,POINT (-94.3431393 35.4424419),0.9995210727969348
Allegany,MD,1991,2,POINT (-78.8280761 39.6400877),0.9995210727969348
Erie,NY,1991,34,POINT (-79.066983 42.6242257),0.9841954022988506
Anderson,TN,1991,1,POINT (-86.1797114 35.3775787),1.0
Faulkner,AR,1992,3,POINT (-94.0863113 34.3403867),0.9990421455938696
Napa,CA,1992,6,POINT (-122.2855293 38.2971367),0.9976053639846744
Indian River,FL,1992,3,POINT (-80.5023298 27.5998271),0.9990421455938696
Cass,MN,1992,2,POINT (-94.60415 47.379398),0.9995210727969348
Orange,VA,1992,1,POINT (-78.1108342 38.2454106),1.0
Trempealeau,WI,1992,1,POINT (-91.4414775 44.0057631),1.0
Raleigh,WV,1992,2,POINT (-81.1742659 37.7567819),0.9995210727969348
Cleveland,NC,1993,19,POINT (-80.6770111 35.7331953),0.9913793103448276
Livingston,NY,1993,1,POINT (-73.777905 42.1420336),1.0
Monroe,NY,1993,70,POINT (-74.1866348 41.3304767),0.9669540229885056
Angelina,TX,1993,7,POINT (-94.7069743 31.3658498),0.9971264367816092
Jefferson,TX,1993,37,POINT (-94.3451926 32.7573626),0.9827586206896552
Wood,WV,1993,3,POINT (-81.9154142 38.7714727),0.9990421455938696
Carroll,AR,1994,2,POINT (-93.5844917 36.3798693),0.9995210727969348
Macon,GA,1994,1,POINT (-83.6324022 32.8406946),1.0
Macon,IL,1994,12,POINT (-88.9970218 39.7128155),0.9947318007662836
Butler,PA,1994,2,POINT (-79.895197 40.86108),0.9995210727969348
Kleberg,TX,1994,1,POINT (-96.6158262 32.6715211),1.0
Mathews,VA,1994,1,POINT (-76.32107 37.4337395),1.0
Santa Barbara,CA,1995,11,POINT (-119.702667 34.4221319),0.9952107279693486
Jackson,KY,1995,2,POINT (-83.3822604 37.5534741),0.9995210727969348
Berkeley,WV,1984,3,POINT (-77.9272196 39.5031537),0.9990421455938696
Pueblo,CO,1985,7,POINT (-104.6141867 38.263995),0.9971264367816092
Broward,FL,1985,132,POINT (-80.1112059 26.2983934),0.9372605363984674
Alcorn,MS,1985,2,POINT (-91.1392755 31.8779382),0.9995210727969348
Boone,MO,1986,4,POINT (-94.593209 38.9629901),0.9985632183908046
Union,SC,1986,2,POINT (-81.6237462 34.7151939),0.9995210727969348
Lapeer,MI,1988,3,POINT (-83.3188341 43.0514161),0.9990421455938696
Crawford,OH,1988,1,POINT (-83.3421447 40.9197777),1.0
Palo Pinto,TX,1989,2,POINT (-98.2993631 32.7668959),0.9995210727969348
Orange,CA,1992,183,POINT (-117.850308 33.7872568),0.9128352490421456
Wayne,NY,1992,1,POINT (-77.1055262 42.4709046),1.0
Penobscot,ME,1995,2,POINT (-68.7111393 44.4645203),0.9995210727969348
Stanislaus,CA,1980,31,POINT (-120.3701959 38.1382537),0.985632183908046
Mahnomen,MN,1980,1,POINT (-95.9689651 47.3151116),1.0
Cherokee,OK,1980,2,POINT (-98.3567403 36.7544746),0.9995210727969348
Berkeley,SC,1980,14,POINT (-81.8849455 34.9894187),0.9937739463601531
Spartanburg,SC,1980,36,POINT (-81.9320157 34.9498007),0.9832375478927204
Hidalgo,TX,1980,27,POINT (-98.2577597 26.1019892),0.9875478927203064
Live Oak,TX,1980,3,POINT (-98.3334411 29.5628983),0.9990421455938696
Charlottesville,VA,1980,5,POINT (-78.4766781 38.029306),0.9980842911877394
Green Lake,WI,1980,1,POINT (-88.9601133 43.8441481),1.0
Crawford,AR,1981,8,POINT (-92.9104487 36.1767389),0.996647509578544
Madison,FL,1981,1,POINT (-83.4129254 30.4693772),1.0
Bibb,GA,1981,22,POINT (-84.9918764 32.4956975),0.9899425287356322
Dorchester,MD,1981,3,POINT (-76.6864432 39.3321017),0.9990421455938696
Hillsdale,MI,1981,3,POINT (-84.6305101 41.9200472),0.9990421455938696
Hancock,MS,1981,7,POINT (-88.8089424 33.4567886),0.9971264367816092
Edgefield,SC,1981,3,POINT (-81.9295582 33.7895774),0.9990421455938696
Meigs,TN,1981,1,POINT (-84.710218 35.6872945),1.0
Blanco,TX,1981,1,POINT (-98.4220602 30.1007035),1.0
Terrell,TX,1981,1,POINT (-96.2752569 32.7359626),1.0
Nome,AK,1982,1,POINT (-165.4061701 64.4975098),1.0
Shelby,IN,1982,2,POINT (-87.34783 41.1952458),0.9995210727969348
Tippecanoe,IN,1982,5,POINT (-86.114999 41.2089325),0.9980842911877394
Sherburne,MN,1982,1,POINT (-93.5763889 45.5438889),1.0
