,state,county,Unemployment,countyhelper,ranking,geometry
0,VA,Charles City,3.21,VACharles City County,0.7685541553303158,POINT (-77.0605098 37.3705777)
1,TX,McMullen,1.81,TXMcmullen County,0.8455195238989519,POINT (-98.5527241 28.3138785)
2,TX,Terrell,3.54,TXTerrell County,0.7504123238835169,POINT (-102.0974881 30.1990738)
3,AK,Skagway Municipality,7.19,AKSkagway Municipality,0.5497526213984378,POINT (-135.4094368 59.6226362)
4,GA,Baker,4.19,GABaker County,0.7146783999536952,POINT (-84.4555346 31.3439196)
5,KS,Geary,3.91,KSGeary County,0.7300714710459977,POINT (-96.7619968 38.9885445)
6,CO,Hinsdale,2.58,COHinsdale County,0.803188575118339,POINT (-107.3304179 37.813681)
7,TX,Cochran,5.08,TXCochran County,0.6657504263222911,POINT (-102.805677 33.5905096)
8,TX,Armstrong,2.85,TXArmstrong County,0.7883452560969357,POINT (-101.3449139 34.9295608)
9,TX,Delta,4.18,TXDelta County,0.7152281651317176,POINT (-95.6749486 33.3926893)
10,TX,Borden,1.89,TXBorden County,0.8411215007781961,POINT (-101.425711 32.6879416)
11,ND,Divide,1.34,NDDivide County,0.871357890891902,POINT (-103.5180387 48.8189219)
12,OK,Harmon,2.82,OKHarmon County,0.7899945123096335,POINT (-99.8358205 34.7486602)
13,NC,Tyrrell,5.47,NCTyrrell County,0.6443100824500967,POINT (-76.2126146 35.8217079)
14,VA,Mathews,2.94,VAMathews County,0.783397474351719,POINT (-76.331696 37.4481394)
15,OR,Sherman,3.44,ORSherman County,0.7559098445925095,POINT (-120.6963746 45.3944268)
16,SD,Jones,2.55,SDJones County,0.8048378313310367,POINT (-100.6853793 43.9667174)
17,VA,Williamsburg city,4.26,VAWilliamsburg City,0.7108301223502771,POINT (-76.7074042 37.2708788)
18,VA,Nelson,2.85,VANelson County,0.7883452560969357,POINT (-78.8973622 37.7755351)
19,ND,Slope,2.71,NDSlope County,0.7960417850895254,POINT (-103.4507022 46.4464651)
20,TX,Culberson,2.95,TXCulberson County,0.7828477222808198,POINT (-104.482834 31.4622625)
21,TX,Motley,4.28,TXMotley County,0.7097306182084786,POINT (-100.7744062 34.0395459)
22,NE,Stanton,2.08,NEStanton County,0.8306762048775486,POINT (-97.2141158 41.9220687)
23,MD,Kent,3.73,MDKent County,0.7399670214293077,POINT (-76.1038454 39.2587546)
24,GA,Taliaferro,4.44,GATaliaferro County,0.7009345850740905,POINT (-82.9043661 33.5820382)
25,GA,Webster,3.79,GAWebster County,0.7366685090039121,POINT (-84.5473105 32.050618)
26,GA,Long,3.2,GALong County,0.769103907401215,POINT (-81.753725 31.7704898)
27,VA,King and Queen,2.71,VAKing And Queen County,0.7960417850895254,POINT (-76.8794158 37.7196754)
28,MI,Lake,7.59,MILake County,0.5277625123482208,POINT (-85.7884997 43.9699997)
29,KS,Woodson,3.64,KSWoodson County,0.744914790067401,POINT (-95.7517113 37.8811369)
30,TX,Coke,3.58,TXCoke County,0.7482133155999198,POINT (-100.5474369 31.8695226)
31,TX,Kenedy,6.52,TXKenedy County,0.5865860494700581,POINT (-97.7461361 26.9205171)
32,NE,Loup,2.72,NELoup County,0.795492033018626,POINT (-99.4608177 41.9075834)
33,TX,King,0.87,TXKing County,0.8971962644384137,POINT (-100.2178972 33.588178)
34,TX,Fisher,3.6,TXFisher County,0.7471138114581213,POINT (-100.3811922 32.7090882)
35,MA,Nantucket,6.74,MANantucket County,0.5744915039102743,POINT (-70.0951867 41.2727997)
36,MT,Prairie,3.12,MTPrairie County,0.7735019370755324,POINT (-105.3390398 46.8103971)
37,VA,Northumberland,4.14,VANorthumberland County,0.7174271734153147,POINT (-76.4836686 37.9314992)
38,CO,Mineral,2.9,COMineral County,0.7855964826353161,POINT (-106.9311267 37.6584133)
